pollster,state,sample_size,methodology,population,candidate_name,party,pct,pollster_rating_name,election_date,poll_start_date,poll_end_date,supports_candidate
YouGov,Ohio,930,Online Panel,lv,Donald Trump,REP,43.92914089981677,C,2024-11-05,2024-09-04,2024-10-09,no
InsiderAdvantage,Ohio,836,Online Panel,rv,Kamala Harris,DEM,48.22255349614773,B,2024-11-05,2024-09-14,2024-10-08,no
InsiderAdvantage,Ohio,1193,Text,lv,Kamala Harris,DEM,51.298888673245706,C,2024-11-05,2024-09-27,2024-10-08,yes
YouGov,Texas,1415,Text,lv,Donald Trump,REP,55.60801919525452,C,2024-11-05,2024-09-25,2024-10-08,yes
ActiVote,Florida,470,App Panel,lv,Kamala Harris,DEM,51.28333190019682,A+,2024-11-05,2024-09-20,2024-10-10,yes
InsiderAdvantage,Texas,691,Online Panel,lv,Jill Stein,GRE,46.015846678137926,B,2024-11-05,2024-09-16,2024-10-08,no
YouGov,Ohio,948,Text,rv,Donald Trump,REP,56.952980028636986,A+,2024-11-05,2024-09-10,2024-10-10,yes
InsiderAdvantage,Ohio,1363,App Panel,rv,Donald Trump,REP,51.609108204988715,C,2024-11-05,2024-09-08,2024-10-08,yes
InsiderAdvantage,Pennsylvania,1063,Online Panel,rv,Jill Stein,GRE,53.08907311244115,A+,2024-11-05,2024-09-02,2024-10-09,yes
ActiVote,Arizona,1000,Online Panel,lv,Kamala Harris,DEM,47.112448916819005,A+,2024-11-05,2024-09-01,2024-10-09,no
ActiVote,Pennsylvania,441,Online Panel,lv,Donald Trump,REP,53.34561939956356,B,2024-11-05,2024-09-06,2024-10-08,yes
ActiVote,Texas,879,Text,rv,Jill Stein,GRE,51.78472557655647,C,2024-11-05,2024-09-16,2024-10-08,yes
InsiderAdvantage,Ohio,597,App Panel,lv,Kamala Harris,DEM,51.07313369417737,C,2024-11-05,2024-09-26,2024-10-10,yes
ActiVote,Arizona,923,App Panel,rv,Kamala Harris,DEM,53.604042671510626,A,2024-11-05,2024-09-24,2024-10-10,yes
YouGov,Arizona,1288,App Panel,rv,Kamala Harris,DEM,50.647290744050196,C,2024-11-05,2024-09-08,2024-10-09,yes
ActiVote,Arizona,1028,Online Panel,lv,Kamala Harris,DEM,49.63422524890992,B,2024-11-05,2024-09-01,2024-10-08,no
InsiderAdvantage,Florida,1110,Text,rv,Kamala Harris,DEM,54.16704802901076,C,2024-11-05,2024-09-03,2024-10-10,yes
YouGov,Pennsylvania,420,Online Panel,lv,Jill Stein,GRE,51.53038607557045,A+,2024-11-05,2024-10-06,2024-10-09,yes
ActiVote,Arizona,1110,Online Panel,rv,Jill Stein,GRE,48.73323839355378,C,2024-11-05,2024-09-03,2024-10-09,no
ActiVote,Arizona,748,Online Panel,rv,Kamala Harris,DEM,51.538895261808484,A,2024-11-05,2024-09-05,2024-10-08,yes
YouGov,Florida,1355,Online Panel,lv,Donald Trump,REP,45.972936657969505,C,2024-11-05,2024-09-02,2024-10-09,no
InsiderAdvantage,Ohio,1193,Text,rv,Kamala Harris,DEM,49.60010426651202,C,2024-11-05,2024-10-02,2024-10-09,no
InsiderAdvantage,Florida,534,Online Panel,rv,Jill Stein,GRE,42.273483886789826,A+,2024-11-05,2024-09-20,2024-10-09,no
ActiVote,Arizona,725,Online Panel,rv,Kamala Harris,DEM,57.58848016982689,A+,2024-11-05,2024-09-10,2024-10-10,yes
InsiderAdvantage,Arizona,779,Online Panel,rv,Donald Trump,REP,43.08444426874608,B,2024-11-05,2024-09-11,2024-10-08,no
InsiderAdvantage,Texas,916,Online Panel,rv,Jill Stein,GRE,49.61352751200203,A,2024-11-05,2024-09-15,2024-10-08,no
ActiVote,Arizona,847,Online Panel,rv,Donald Trump,REP,48.90778311264347,C,2024-11-05,2024-09-04,2024-10-10,no
ActiVote,Arizona,409,Online Panel,rv,Donald Trump,REP,38.13317396556769,A,2024-11-05,2024-09-22,2024-10-10,no
YouGov,Florida,674,App Panel,rv,Kamala Harris,DEM,52.893111497133745,A+,2024-11-05,2024-09-05,2024-10-10,yes
InsiderAdvantage,Arizona,704,Online Panel,lv,Jill Stein,GRE,42.786178970758485,C,2024-11-05,2024-09-18,2024-10-10,no
InsiderAdvantage,Ohio,535,App Panel,rv,Jill Stein,GRE,48.91547646738667,B,2024-11-05,2024-10-02,2024-10-10,no
InsiderAdvantage,Florida,1397,Text,rv,Kamala Harris,DEM,49.22993239514791,B,2024-11-05,2024-09-15,2024-10-09,no
YouGov,Pennsylvania,439,App Panel,lv,Jill Stein,GRE,44.99537045860781,A,2024-11-05,2024-09-23,2024-10-09,no
ActiVote,Texas,902,Text,rv,Jill Stein,GRE,50.17634839342391,A,2024-11-05,2024-09-30,2024-10-08,yes
InsiderAdvantage,Arizona,869,Text,rv,Donald Trump,REP,51.056654806096944,B,2024-11-05,2024-09-06,2024-10-08,yes
ActiVote,Florida,854,Online Panel,lv,Jill Stein,GRE,47.729212301664674,A,2024-11-05,2024-09-24,2024-10-10,no
ActiVote,Ohio,1224,Online Panel,rv,Donald Trump,REP,46.186728422287274,A,2024-11-05,2024-10-05,2024-10-08,no
InsiderAdvantage,Texas,1272,Text,rv,Jill Stein,GRE,50.25847990772867,C,2024-11-05,2024-09-02,2024-10-08,yes
InsiderAdvantage,Texas,1494,Online Panel,rv,Kamala Harris,DEM,45.87846590706327,C,2024-11-05,2024-09-17,2024-10-09,no
InsiderAdvantage,Arizona,791,Text,lv,Donald Trump,REP,53.38988369429172,B,2024-11-05,2024-09-27,2024-10-08,yes
InsiderAdvantage,Ohio,419,Online Panel,rv,Kamala Harris,DEM,45.748047103135484,B,2024-11-05,2024-09-19,2024-10-08,no
ActiVote,Pennsylvania,970,Online Panel,rv,Donald Trump,REP,55.12737110391482,A,2024-11-05,2024-09-08,2024-10-10,yes
ActiVote,Arizona,579,Online Panel,lv,Donald Trump,REP,51.05383112892097,B,2024-11-05,2024-10-05,2024-10-08,yes
YouGov,Arizona,643,App Panel,lv,Donald Trump,REP,54.80791859831224,B,2024-11-05,2024-10-04,2024-10-08,yes
InsiderAdvantage,Ohio,898,Text,lv,Kamala Harris,DEM,45.513499762761256,A+,2024-11-05,2024-09-20,2024-10-10,no
InsiderAdvantage,Arizona,854,Online Panel,lv,Jill Stein,GRE,47.83684983138193,C,2024-11-05,2024-09-11,2024-10-10,no
YouGov,Texas,1372,App Panel,lv,Kamala Harris,DEM,53.362855211898896,B,2024-11-05,2024-09-16,2024-10-10,yes
YouGov,Pennsylvania,999,App Panel,lv,Donald Trump,REP,52.419772870264374,A+,2024-11-05,2024-09-26,2024-10-09,yes
InsiderAdvantage,Ohio,525,Online Panel,lv,Donald Trump,REP,48.9626156298163,B,2024-11-05,2024-09-24,2024-10-10,no
ActiVote,Florida,1423,Online Panel,rv,Jill Stein,GRE,48.48956041464416,A,2024-11-05,2024-09-04,2024-10-08,no
InsiderAdvantage,Texas,512,App Panel,rv,Jill Stein,GRE,47.82234740610141,A+,2024-11-05,2024-09-09,2024-10-10,no
InsiderAdvantage,Florida,922,App Panel,lv,Kamala Harris,DEM,49.14989498520607,A+,2024-11-05,2024-09-02,2024-10-08,no
ActiVote,Ohio,1376,App Panel,lv,Kamala Harris,DEM,47.30557401204103,A,2024-11-05,2024-09-27,2024-10-08,no
ActiVote,Florida,476,App Panel,rv,Donald Trump,REP,46.82290981564467,A,2024-11-05,2024-09-22,2024-10-10,no
ActiVote,Florida,999,Online Panel,rv,Jill Stein,GRE,53.71324406548936,C,2024-11-05,2024-09-30,2024-10-10,yes
ActiVote,Arizona,742,App Panel,lv,Kamala Harris,DEM,50.40134444466202,C,2024-11-05,2024-10-05,2024-10-10,yes
InsiderAdvantage,Ohio,1237,Text,lv,Kamala Harris,DEM,42.494837240976196,A+,2024-11-05,2024-09-15,2024-10-09,no
YouGov,Florida,620,Text,lv,Kamala Harris,DEM,51.563952173520406,C,2024-11-05,2024-10-01,2024-10-09,yes
ActiVote,Pennsylvania,635,Online Panel,lv,Jill Stein,GRE,48.39232630633948,A,2024-11-05,2024-09-24,2024-10-08,no
YouGov,Ohio,712,Online Panel,rv,Kamala Harris,DEM,60.41419311658539,B,2024-11-05,2024-10-02,2024-10-10,yes
InsiderAdvantage,Pennsylvania,473,Online Panel,rv,Jill Stein,GRE,54.86908518862735,C,2024-11-05,2024-10-02,2024-10-09,yes
InsiderAdvantage,Texas,1030,App Panel,lv,Jill Stein,GRE,47.529862938451956,A+,2024-11-05,2024-09-11,2024-10-09,no
ActiVote,Florida,1442,Online Panel,rv,Kamala Harris,DEM,50.48424179624951,C,2024-11-05,2024-10-03,2024-10-09,yes
InsiderAdvantage,Texas,1256,Text,lv,Kamala Harris,DEM,43.423309643648786,B,2024-11-05,2024-09-22,2024-10-09,no
ActiVote,Arizona,1025,App Panel,lv,Jill Stein,GRE,48.30334350809085,A,2024-11-05,2024-09-23,2024-10-10,no
YouGov,Florida,748,App Panel,lv,Kamala Harris,DEM,51.71752199125376,C,2024-11-05,2024-09-10,2024-10-10,yes
YouGov,Texas,1496,App Panel,lv,Kamala Harris,DEM,52.233646650596114,A,2024-11-05,2024-09-04,2024-10-10,yes
YouGov,Texas,1422,Online Panel,lv,Donald Trump,REP,45.241518777136555,A,2024-11-05,2024-10-04,2024-10-09,no
ActiVote,Pennsylvania,917,Text,rv,Jill Stein,GRE,47.58091485619598,C,2024-11-05,2024-09-11,2024-10-09,no
YouGov,Texas,1205,Online Panel,lv,Jill Stein,GRE,54.15665485819759,A+,2024-11-05,2024-09-27,2024-10-10,yes
InsiderAdvantage,Florida,593,App Panel,lv,Donald Trump,REP,54.102341780911146,B,2024-11-05,2024-09-02,2024-10-10,yes
InsiderAdvantage,Ohio,868,Online Panel,rv,Jill Stein,GRE,45.33287336555325,C,2024-11-05,2024-09-23,2024-10-10,no
InsiderAdvantage,Texas,625,App Panel,lv,Kamala Harris,DEM,51.22323426152411,B,2024-11-05,2024-09-18,2024-10-08,yes
ActiVote,Arizona,1208,App Panel,rv,Jill Stein,GRE,48.653681765081416,B,2024-11-05,2024-10-03,2024-10-10,no
YouGov,Arizona,544,App Panel,rv,Donald Trump,REP,42.28091769296045,B,2024-11-05,2024-09-08,2024-10-10,no
InsiderAdvantage,Texas,770,Online Panel,lv,Kamala Harris,DEM,53.48436448383686,A,2024-11-05,2024-09-15,2024-10-10,yes
InsiderAdvantage,Florida,1043,Online Panel,lv,Jill Stein,GRE,50.41720806567067,C,2024-11-05,2024-10-01,2024-10-08,yes
YouGov,Arizona,498,Text,rv,Donald Trump,REP,42.010932901633566,B,2024-11-05,2024-09-30,2024-10-09,no
InsiderAdvantage,Texas,711,Text,rv,Kamala Harris,DEM,44.970177647815355,C,2024-11-05,2024-10-01,2024-10-08,no
InsiderAdvantage,Florida,1345,App Panel,lv,Kamala Harris,DEM,51.24219391039156,A,2024-11-05,2024-10-07,2024-10-08,yes
InsiderAdvantage,Arizona,731,Online Panel,lv,Donald Trump,REP,53.27648944776685,A,2024-11-05,2024-10-06,2024-10-09,yes
ActiVote,Ohio,1288,Text,lv,Jill Stein,GRE,52.05276320732198,A,2024-11-05,2024-09-14,2024-10-10,yes
YouGov,Arizona,499,App Panel,rv,Donald Trump,REP,51.41999329131731,C,2024-11-05,2024-10-04,2024-10-10,yes
ActiVote,Texas,740,Text,lv,Kamala Harris,DEM,52.169532055573946,B,2024-11-05,2024-09-29,2024-10-09,yes
ActiVote,Texas,864,App Panel,lv,Kamala Harris,DEM,55.1631842168693,B,2024-11-05,2024-09-26,2024-10-09,yes
InsiderAdvantage,Pennsylvania,1411,App Panel,lv,Jill Stein,GRE,37.19325045713909,B,2024-11-05,2024-10-01,2024-10-10,no
InsiderAdvantage,Pennsylvania,629,Text,rv,Jill Stein,GRE,54.31314263548999,B,2024-11-05,2024-09-13,2024-10-09,yes
YouGov,Texas,898,App Panel,rv,Kamala Harris,DEM,53.128484334006885,A+,2024-11-05,2024-09-25,2024-10-10,yes
ActiVote,Ohio,600,Text,rv,Donald Trump,REP,47.26829970758734,A+,2024-11-05,2024-09-30,2024-10-09,no
ActiVote,Pennsylvania,505,App Panel,rv,Kamala Harris,DEM,56.47493010295026,A+,2024-11-05,2024-09-16,2024-10-09,yes
YouGov,Pennsylvania,1160,Online Panel,rv,Kamala Harris,DEM,51.75302530741016,A+,2024-11-05,2024-09-21,2024-10-10,yes
ActiVote,Florida,1478,Text,rv,Donald Trump,REP,49.67428853541395,A+,2024-11-05,2024-09-15,2024-10-08,no
ActiVote,Arizona,544,Online Panel,rv,Jill Stein,GRE,41.246705940275646,C,2024-11-05,2024-10-03,2024-10-08,no
InsiderAdvantage,Ohio,696,Online Panel,rv,Kamala Harris,DEM,57.29821742358148,B,2024-11-05,2024-09-22,2024-10-09,yes
YouGov,Florida,900,Text,lv,Kamala Harris,DEM,48.53579471523963,B,2024-11-05,2024-09-19,2024-10-10,no
InsiderAdvantage,Texas,1162,Text,rv,Kamala Harris,DEM,43.750519625201036,B,2024-11-05,2024-09-21,2024-10-09,no
YouGov,Texas,472,App Panel,rv,Jill Stein,GRE,52.687697065778394,A,2024-11-05,2024-09-10,2024-10-08,yes
InsiderAdvantage,Texas,1450,Online Panel,lv,Kamala Harris,DEM,52.31181986256219,A,2024-11-05,2024-09-19,2024-10-09,yes
InsiderAdvantage,Arizona,410,Text,lv,Jill Stein,GRE,49.43545705209086,B,2024-11-05,2024-09-04,2024-10-08,no
YouGov,Ohio,1477,Online Panel,lv,Kamala Harris,DEM,55.58937299382434,A,2024-11-05,2024-09-27,2024-10-09,yes
YouGov,Pennsylvania,1165,Online Panel,rv,Donald Trump,REP,58.5577138528663,B,2024-11-05,2024-09-02,2024-10-08,yes
ActiVote,Texas,1369,Text,lv,Kamala Harris,DEM,52.119235273030945,C,2024-11-05,2024-09-20,2024-10-10,yes
InsiderAdvantage,Arizona,440,App Panel,lv,Donald Trump,REP,45.94425853105335,C,2024-11-05,2024-10-01,2024-10-09,no
InsiderAdvantage,Florida,641,Online Panel,rv,Jill Stein,GRE,48.57448735782728,B,2024-11-05,2024-09-16,2024-10-08,no
YouGov,Ohio,892,Text,rv,Donald Trump,REP,54.55955090637636,A+,2024-11-05,2024-09-09,2024-10-09,yes
InsiderAdvantage,Texas,767,App Panel,lv,Donald Trump,REP,43.33847261830944,A+,2024-11-05,2024-09-25,2024-10-09,no
InsiderAdvantage,Texas,552,Text,rv,Donald Trump,REP,43.13219686277712,A+,2024-11-05,2024-09-14,2024-10-08,no
InsiderAdvantage,Pennsylvania,1119,Text,lv,Kamala Harris,DEM,51.27479388947956,A,2024-11-05,2024-09-09,2024-10-09,yes
YouGov,Texas,721,App Panel,rv,Jill Stein,GRE,46.12787484690643,A,2024-11-05,2024-09-28,2024-10-09,no
YouGov,Ohio,1013,App Panel,lv,Kamala Harris,DEM,58.93101422367967,C,2024-11-05,2024-09-01,2024-10-09,yes
ActiVote,Pennsylvania,423,Online Panel,lv,Jill Stein,GRE,54.62303121975932,A+,2024-11-05,2024-09-25,2024-10-09,yes
ActiVote,Pennsylvania,533,Online Panel,rv,Donald Trump,REP,55.61233827453738,C,2024-11-05,2024-10-02,2024-10-08,yes
YouGov,Arizona,1230,App Panel,lv,Jill Stein,GRE,52.3381480057553,C,2024-11-05,2024-09-02,2024-10-08,yes
YouGov,Arizona,1269,App Panel,rv,Donald Trump,REP,49.66280898952219,A+,2024-11-05,2024-09-01,2024-10-08,no
YouGov,Arizona,1110,Online Panel,lv,Kamala Harris,DEM,51.34639778086873,C,2024-11-05,2024-09-03,2024-10-09,yes
ActiVote,Pennsylvania,1069,App Panel,lv,Donald Trump,REP,52.21001361827087,C,2024-11-05,2024-10-06,2024-10-08,yes
YouGov,Florida,617,Text,lv,Kamala Harris,DEM,46.26696134840435,A,2024-11-05,2024-09-08,2024-10-10,no
YouGov,Ohio,1338,Text,lv,Donald Trump,REP,42.61623005791502,C,2024-11-05,2024-10-05,2024-10-08,no
ActiVote,Ohio,1160,Online Panel,rv,Jill Stein,GRE,49.74917002005537,A+,2024-11-05,2024-09-27,2024-10-08,no
InsiderAdvantage,Florida,778,App Panel,lv,Jill Stein,GRE,54.2567124511286,C,2024-11-05,2024-09-12,2024-10-09,yes
YouGov,Arizona,590,Online Panel,rv,Jill Stein,GRE,52.69062830869741,B,2024-11-05,2024-09-14,2024-10-09,yes
InsiderAdvantage,Ohio,515,Text,lv,Kamala Harris,DEM,45.45286663203077,A+,2024-11-05,2024-09-17,2024-10-10,no
ActiVote,Arizona,733,Text,lv,Kamala Harris,DEM,40.22004213520998,A+,2024-11-05,2024-09-23,2024-10-08,no
ActiVote,Texas,508,App Panel,lv,Donald Trump,REP,54.575723750135936,A+,2024-11-05,2024-09-08,2024-10-09,yes
ActiVote,Texas,732,Online Panel,lv,Donald Trump,REP,46.62398398982916,A+,2024-11-05,2024-09-05,2024-10-09,no
ActiVote,Pennsylvania,945,Text,lv,Jill Stein,GRE,45.935532315240096,A+,2024-11-05,2024-09-22,2024-10-08,no
InsiderAdvantage,Arizona,696,App Panel,lv,Jill Stein,GRE,52.69754509502027,B,2024-11-05,2024-10-05,2024-10-08,yes
ActiVote,Pennsylvania,1109,Text,lv,Donald Trump,REP,49.724341608907125,B,2024-11-05,2024-09-12,2024-10-10,no
YouGov,Texas,432,App Panel,rv,Donald Trump,REP,59.32479517751533,C,2024-11-05,2024-09-14,2024-10-09,yes
YouGov,Ohio,726,Text,rv,Kamala Harris,DEM,52.6499828704016,C,2024-11-05,2024-09-11,2024-10-09,yes
InsiderAdvantage,Arizona,1465,App Panel,rv,Kamala Harris,DEM,50.764659433826495,A,2024-11-05,2024-10-07,2024-10-10,yes
YouGov,Pennsylvania,1291,Text,lv,Donald Trump,REP,48.87965937668823,B,2024-11-05,2024-09-30,2024-10-09,no
InsiderAdvantage,Florida,892,Text,lv,Kamala Harris,DEM,47.561947340078376,A,2024-11-05,2024-09-04,2024-10-09,no
YouGov,Florida,1073,Text,rv,Jill Stein,GRE,59.61583929346138,A,2024-11-05,2024-09-07,2024-10-09,yes
InsiderAdvantage,Texas,453,Online Panel,lv,Jill Stein,GRE,50.282265952448036,A+,2024-11-05,2024-10-01,2024-10-09,yes
InsiderAdvantage,Pennsylvania,1155,App Panel,lv,Kamala Harris,DEM,49.2034950463227,B,2024-11-05,2024-09-07,2024-10-08,no
InsiderAdvantage,Arizona,1245,App Panel,lv,Donald Trump,REP,58.57807918681757,C,2024-11-05,2024-10-06,2024-10-09,yes
ActiVote,Arizona,1225,Online Panel,rv,Jill Stein,GRE,47.61899457808775,A+,2024-11-05,2024-10-06,2024-10-10,no
ActiVote,Pennsylvania,1202,Online Panel,lv,Kamala Harris,DEM,44.479173990040444,B,2024-11-05,2024-09-02,2024-10-08,no
YouGov,Texas,636,App Panel,lv,Donald Trump,REP,45.64121254399121,A,2024-11-05,2024-09-13,2024-10-08,no
YouGov,Texas,777,App Panel,lv,Kamala Harris,DEM,52.5102575182824,A,2024-11-05,2024-09-04,2024-10-09,yes
ActiVote,Texas,1445,App Panel,lv,Kamala Harris,DEM,57.757385871239315,A,2024-11-05,2024-10-04,2024-10-10,yes
YouGov,Ohio,1460,Text,rv,Jill Stein,GRE,51.65508874171644,B,2024-11-05,2024-10-05,2024-10-08,yes
ActiVote,Arizona,998,Online Panel,rv,Donald Trump,REP,50.921235883775346,A+,2024-11-05,2024-09-28,2024-10-08,yes
InsiderAdvantage,Arizona,543,Online Panel,rv,Jill Stein,GRE,47.13659462173443,C,2024-11-05,2024-09-06,2024-10-09,no
ActiVote,Florida,1383,Text,lv,Donald Trump,REP,49.69935141619145,A+,2024-11-05,2024-09-26,2024-10-10,no
ActiVote,Florida,1206,Online Panel,rv,Donald Trump,REP,58.257624706075745,A+,2024-11-05,2024-09-27,2024-10-08,yes
ActiVote,Ohio,890,App Panel,rv,Jill Stein,GRE,42.561488830932255,C,2024-11-05,2024-09-09,2024-10-10,no
ActiVote,Ohio,752,App Panel,lv,Donald Trump,REP,49.934430538934826,A,2024-11-05,2024-09-04,2024-10-09,no
ActiVote,Florida,1367,Online Panel,rv,Kamala Harris,DEM,51.515705003554295,A,2024-11-05,2024-09-25,2024-10-08,yes
ActiVote,Pennsylvania,595,Text,lv,Jill Stein,GRE,46.11465286163714,A+,2024-11-05,2024-10-01,2024-10-08,no
YouGov,Arizona,804,Text,rv,Donald Trump,REP,50.54901336494744,C,2024-11-05,2024-10-03,2024-10-10,yes
InsiderAdvantage,Pennsylvania,997,Online Panel,lv,Jill Stein,GRE,50.79912788899361,C,2024-11-05,2024-09-07,2024-10-10,yes
YouGov,Arizona,1357,Text,rv,Kamala Harris,DEM,53.186758903392196,A+,2024-11-05,2024-09-28,2024-10-09,yes
