"poll_id","pollster_id","pollster","numeric_grade","pollscore","methodology","transparency_score","sample_size","population","population_full","party","answer","pct","state","candidate_name","end_date","candidate_binary","num_supporters"
88593,396,"Quinnipiac",2.8,-0.5,"Live Phone",9,1073,"lv","lv","DEM","Harris",47,"Wisconsin","Kamala Harris",2024-10-07,1,504
88593,396,"Quinnipiac",2.8,-0.5,"Live Phone",9,1073,"lv","lv","REP","Trump",49,"Wisconsin","Donald Trump",2024-10-07,0,526
88550,1424,"Siena/NYT",3,-1.5,"Live Phone",9,3385,"lv","lv","DEM","Harris",49,"National","Kamala Harris",2024-10-06,1,1659
88550,1424,"Siena/NYT",3,-1.5,"Live Phone",9,3385,"lv","lv","REP","Trump",46,"National","Donald Trump",2024-10-06,0,1557
88550,1424,"Siena/NYT",3,-1.5,"Live Phone",9,3385,"lv","lv","DEM","Harris",47,"National","Kamala Harris",2024-10-06,1,1591
88550,1424,"Siena/NYT",3,-1.5,"Live Phone",9,3385,"lv","lv","REP","Trump",44,"National","Donald Trump",2024-10-06,0,1489
88555,1424,"Siena/NYT",3,-1.5,"Live Phone",9,622,"lv","lv","DEM","Harris",41,"Florida","Kamala Harris",2024-10-06,1,255
88555,1424,"Siena/NYT",3,-1.5,"Live Phone",9,622,"lv","lv","REP","Trump",55,"Florida","Donald Trump",2024-10-06,0,342
88555,1424,"Siena/NYT",3,-1.5,"Live Phone",9,622,"lv","lv","DEM","Harris",40,"Florida","Kamala Harris",2024-10-06,1,249
88555,1424,"Siena/NYT",3,-1.5,"Live Phone",9,622,"lv","lv","REP","Trump",53,"Florida","Donald Trump",2024-10-06,0,330
88551,458,"Suffolk",2.9,-1,"Live Phone",8,500,"lv","lv","DEM","Harris",61.2,"Massachusetts","Kamala Harris",2024-10-05,1,306
88551,458,"Suffolk",2.9,-1,"Live Phone",8,500,"lv","lv","REP","Trump",32.2,"Massachusetts","Donald Trump",2024-10-05,0,161
88527,568,"YouGov",3,-1.1,"Online Panel",9,1150,"rv","rv","DEM","Harris",46,"National","Kamala Harris",2024-10-04,1,529
88527,568,"YouGov",3,-1.1,"Online Panel",9,1150,"rv","rv","REP","Trump",45,"National","Donald Trump",2024-10-04,0,518
88527,568,"YouGov",3,-1.1,"Online Panel",9,1032,"lv","lv","DEM","Harris",47,"National","Kamala Harris",2024-10-04,1,485
88527,568,"YouGov",3,-1.1,"Online Panel",9,1032,"lv","lv","REP","Trump",47,"National","Donald Trump",2024-10-04,0,485
88527,568,"YouGov",3,-1.1,"Online Panel",9,1151,"rv","rv","DEM","Harris",48,"National","Kamala Harris",2024-10-04,1,552
88527,568,"YouGov",3,-1.1,"Online Panel",9,1151,"rv","rv","REP","Trump",46,"National","Donald Trump",2024-10-04,0,529
88527,568,"YouGov",3,-1.1,"Online Panel",9,1033,"lv","lv","DEM","Harris",48,"National","Kamala Harris",2024-10-04,1,496
88527,568,"YouGov",3,-1.1,"Online Panel",9,1033,"lv","lv","REP","Trump",47,"National","Donald Trump",2024-10-04,0,486
88556,1424,"Siena/NYT",3,-1.5,"Live Phone",9,617,"lv","lv","DEM","Harris",44,"Texas","Kamala Harris",2024-10-04,1,271
88556,1424,"Siena/NYT",3,-1.5,"Live Phone",9,617,"lv","lv","REP","Trump",50,"Texas","Donald Trump",2024-10-04,0,308
88556,1424,"Siena/NYT",3,-1.5,"Live Phone",9,617,"lv","lv","DEM","Harris",42,"Texas","Kamala Harris",2024-10-04,1,259
88556,1424,"Siena/NYT",3,-1.5,"Live Phone",9,617,"lv","lv","REP","Trump",49,"Texas","Donald Trump",2024-10-04,0,302
88541,94,"Christopher Newport U.",2.8,-0.6,"Live Phone",9,800,"lv","lv","DEM","Harris",52,"Virginia","Kamala Harris",2024-10-04,1,416
88541,94,"Christopher Newport U.",2.8,-0.6,"Live Phone",9,800,"lv","lv","REP","Trump",41,"Virginia","Donald Trump",2024-10-04,0,328
88482,568,"YouGov",3,-1.1,"Online Panel",9,1463,"rv","rv","DEM","Harris",48,"National","Kamala Harris",2024-10-01,1,702
88482,568,"YouGov",3,-1.1,"Online Panel",9,1463,"rv","rv","REP","Trump",45,"National","Donald Trump",2024-10-01,0,658
88482,568,"YouGov",3,-1.1,"Online Panel",9,1261,"lv","lv","DEM","Harris",49,"National","Kamala Harris",2024-10-01,1,618
88482,568,"YouGov",3,-1.1,"Online Panel",9,1261,"lv","lv","REP","Trump",46,"National","Donald Trump",2024-10-01,0,580
88496,1102,"Emerson",2.9,-1.1,"IVR/Online Panel/Text-to-Web",7,1000,"lv","lv","DEM","Harris",50.2,"National","Kamala Harris",2024-10-01,1,502
88496,1102,"Emerson",2.9,-1.1,"IVR/Online Panel/Text-to-Web",7,1000,"lv","lv","REP","Trump",48.6,"National","Donald Trump",2024-10-01,0,486
88506,1205,"Marist",2.9,-0.9,"Live Phone/Online Panel/Text-to-Web",9,1294,"lv","lv","DEM","Harris",50,"National","Kamala Harris",2024-10-01,1,647
88506,1205,"Marist",2.9,-0.9,"Live Phone/Online Panel/Text-to-Web",9,1294,"lv","lv","REP","Trump",48,"National","Donald Trump",2024-10-01,0,621
88506,1205,"Marist",2.9,-0.9,"Live Phone/Online Panel/Text-to-Web",9,1514,"rv","rv","DEM","Harris",50,"National","Kamala Harris",2024-10-01,1,757
88506,1205,"Marist",2.9,-0.9,"Live Phone/Online Panel/Text-to-Web",9,1514,"rv","rv","REP","Trump",47,"National","Donald Trump",2024-10-01,0,712
88431,486,"The Washington Post",3,-1.2,"Live Phone/Text-to-Web",9,1001,"lv","lv","DEM","Harris",48,"North Carolina","Kamala Harris",2024-09-29,1,480
88431,486,"The Washington Post",3,-1.2,"Live Phone/Text-to-Web",9,1001,"lv","lv","REP","Trump",50,"North Carolina","Donald Trump",2024-09-29,0,500
88431,486,"The Washington Post",3,-1.2,"Live Phone/Text-to-Web",9,1001,"rv","rv","DEM","Harris",47,"North Carolina","Kamala Harris",2024-09-29,1,470
88431,486,"The Washington Post",3,-1.2,"Live Phone/Text-to-Web",9,1001,"rv","rv","REP","Trump",50,"North Carolina","Donald Trump",2024-09-29,0,500
88457,396,"Quinnipiac",2.8,-0.5,"Live Phone",9,953,"lv","lv","DEM","Harris",47,"North Carolina","Kamala Harris",2024-09-29,1,448
88457,396,"Quinnipiac",2.8,-0.5,"Live Phone",9,953,"lv","lv","REP","Trump",49,"North Carolina","Donald Trump",2024-09-29,0,467
88457,396,"Quinnipiac",2.8,-0.5,"Live Phone",9,953,"lv","lv","DEM","Harris",48,"North Carolina","Kamala Harris",2024-09-29,1,457
88457,396,"Quinnipiac",2.8,-0.5,"Live Phone",9,953,"lv","lv","REP","Trump",49,"North Carolina","Donald Trump",2024-09-29,0,467
88458,396,"Quinnipiac",2.8,-0.5,"Live Phone",9,942,"lv","lv","DEM","Harris",44,"Georgia","Kamala Harris",2024-09-29,1,414
88458,396,"Quinnipiac",2.8,-0.5,"Live Phone",9,942,"lv","lv","REP","Trump",50,"Georgia","Donald Trump",2024-09-29,0,471
88458,396,"Quinnipiac",2.8,-0.5,"Live Phone",9,942,"lv","lv","DEM","Harris",45,"Georgia","Kamala Harris",2024-09-29,1,424
88458,396,"Quinnipiac",2.8,-0.5,"Live Phone",9,942,"lv","lv","REP","Trump",50,"Georgia","Donald Trump",2024-09-29,0,471
88461,1102,"Emerson",2.9,-1.1,"Online Panel/Text-to-Web",7,920,"lv","lv","DEM","Harris",47.6,"Arizona","Kamala Harris",2024-09-28,1,438
88461,1102,"Emerson",2.9,-1.1,"Online Panel/Text-to-Web",7,920,"lv","lv","REP","Trump",51.7,"Arizona","Donald Trump",2024-09-28,0,476
88462,1102,"Emerson",2.9,-1.1,"Online Panel/Text-to-Web",7,850,"lv","lv","DEM","Harris",49.1,"North Carolina","Kamala Harris",2024-09-28,1,417
88462,1102,"Emerson",2.9,-1.1,"Online Panel/Text-to-Web",7,850,"lv","lv","REP","Trump",49.9,"North Carolina","Donald Trump",2024-09-28,0,424
88465,1102,"Emerson",2.9,-1.1,"Online Panel/Text-to-Web",7,1000,"lv","lv","DEM","Harris",49.3,"Pennsylvania","Kamala Harris",2024-09-28,1,493
88465,1102,"Emerson",2.9,-1.1,"Online Panel/Text-to-Web",7,1000,"lv","lv","REP","Trump",48.8,"Pennsylvania","Donald Trump",2024-09-28,0,488
88554,1700,"McCourtney Institute/YouGov",3,-1.1,"Online Panel",6.5,848,"lv","lv","DEM","Harris",48,"National","Kamala Harris",2024-09-27,1,407
88554,1700,"McCourtney Institute/YouGov",3,-1.1,"Online Panel",6.5,848,"lv","lv","REP","Trump",45,"National","Donald Trump",2024-09-27,0,382
88407,1424,"Siena/NYT",3,-1.5,"Live Phone",9,680,"rv","rv","DEM","Harris",51,"Nebraska CD-2","Kamala Harris",2024-09-26,1,347
88407,1424,"Siena/NYT",3,-1.5,"Live Phone",9,680,"rv","rv","REP","Trump",42,"Nebraska CD-2","Donald Trump",2024-09-26,0,286
88407,1424,"Siena/NYT",3,-1.5,"Live Phone",9,680,"rv","rv","DEM","Harris",49,"Nebraska CD-2","Kamala Harris",2024-09-26,1,333
88407,1424,"Siena/NYT",3,-1.5,"Live Phone",9,680,"rv","rv","REP","Trump",41,"Nebraska CD-2","Donald Trump",2024-09-26,0,279
88407,1424,"Siena/NYT",3,-1.5,"Live Phone",9,680,"lv","lv","DEM","Harris",52,"Nebraska CD-2","Kamala Harris",2024-09-26,1,354
88407,1424,"Siena/NYT",3,-1.5,"Live Phone",9,680,"lv","lv","REP","Trump",43,"Nebraska CD-2","Donald Trump",2024-09-26,0,292
88407,1424,"Siena/NYT",3,-1.5,"Live Phone",9,680,"lv","lv","DEM","Harris",51,"Nebraska CD-2","Kamala Harris",2024-09-26,1,347
88407,1424,"Siena/NYT",3,-1.5,"Live Phone",9,680,"lv","lv","REP","Trump",42,"Nebraska CD-2","Donald Trump",2024-09-26,0,286
88393,460,"SurveyUSA",2.8,-1.3,"Online Panel",8,646,"lv","lv","DEM","Harris",50,"Minnesota","Kamala Harris",2024-09-26,1,323
88393,460,"SurveyUSA",2.8,-1.3,"Online Panel",8,646,"lv","lv","REP","Trump",44,"Minnesota","Donald Trump",2024-09-26,0,284
88404,1424,"Siena/NYT",3,-1.5,"Live Phone",9,688,"rv","rv","DEM","Harris",45,"Michigan","Kamala Harris",2024-09-26,1,310
88404,1424,"Siena/NYT",3,-1.5,"Live Phone",9,688,"rv","rv","REP","Trump",47,"Michigan","Donald Trump",2024-09-26,0,323
88404,1424,"Siena/NYT",3,-1.5,"Live Phone",9,688,"rv","rv","DEM","Harris",43,"Michigan","Kamala Harris",2024-09-26,1,296
88404,1424,"Siena/NYT",3,-1.5,"Live Phone",9,688,"rv","rv","REP","Trump",46,"Michigan","Donald Trump",2024-09-26,0,316
88404,1424,"Siena/NYT",3,-1.5,"Live Phone",9,688,"lv","lv","DEM","Harris",48,"Michigan","Kamala Harris",2024-09-26,1,330
88404,1424,"Siena/NYT",3,-1.5,"Live Phone",9,688,"lv","lv","REP","Trump",47,"Michigan","Donald Trump",2024-09-26,0,323
88404,1424,"Siena/NYT",3,-1.5,"Live Phone",9,688,"lv","lv","DEM","Harris",46,"Michigan","Kamala Harris",2024-09-26,1,316
88404,1424,"Siena/NYT",3,-1.5,"Live Phone",9,688,"lv","lv","REP","Trump",46,"Michigan","Donald Trump",2024-09-26,0,316
88405,1424,"Siena/NYT",3,-1.5,"Live Phone",9,687,"rv","rv","DEM","Harris",45,"Ohio","Kamala Harris",2024-09-26,1,309
88405,1424,"Siena/NYT",3,-1.5,"Live Phone",9,687,"rv","rv","REP","Trump",49,"Ohio","Donald Trump",2024-09-26,0,337
88405,1424,"Siena/NYT",3,-1.5,"Live Phone",9,687,"rv","rv","DEM","Harris",44,"Ohio","Kamala Harris",2024-09-26,1,302
88405,1424,"Siena/NYT",3,-1.5,"Live Phone",9,687,"rv","rv","REP","Trump",47,"Ohio","Donald Trump",2024-09-26,0,323
88405,1424,"Siena/NYT",3,-1.5,"Live Phone",9,687,"lv","lv","DEM","Harris",44,"Ohio","Kamala Harris",2024-09-26,1,302
88405,1424,"Siena/NYT",3,-1.5,"Live Phone",9,687,"lv","lv","REP","Trump",50,"Ohio","Donald Trump",2024-09-26,0,344
88405,1424,"Siena/NYT",3,-1.5,"Live Phone",9,687,"lv","lv","DEM","Harris",43,"Ohio","Kamala Harris",2024-09-26,1,295
88405,1424,"Siena/NYT",3,-1.5,"Live Phone",9,687,"lv","lv","REP","Trump",49,"Ohio","Donald Trump",2024-09-26,0,337
88406,1424,"Siena/NYT",3,-1.5,"Live Phone",9,680,"rv","rv","DEM","Harris",49,"Wisconsin","Kamala Harris",2024-09-26,1,333
88406,1424,"Siena/NYT",3,-1.5,"Live Phone",9,680,"rv","rv","REP","Trump",47,"Wisconsin","Donald Trump",2024-09-26,0,320
88406,1424,"Siena/NYT",3,-1.5,"Live Phone",9,680,"rv","rv","DEM","Harris",48,"Wisconsin","Kamala Harris",2024-09-26,1,326
88406,1424,"Siena/NYT",3,-1.5,"Live Phone",9,680,"rv","rv","REP","Trump",45,"Wisconsin","Donald Trump",2024-09-26,0,306
88406,1424,"Siena/NYT",3,-1.5,"Live Phone",9,680,"lv","lv","DEM","Harris",49,"Wisconsin","Kamala Harris",2024-09-26,1,333
88406,1424,"Siena/NYT",3,-1.5,"Live Phone",9,680,"lv","lv","REP","Trump",47,"Wisconsin","Donald Trump",2024-09-26,0,320
88406,1424,"Siena/NYT",3,-1.5,"Live Phone",9,680,"lv","lv","DEM","Harris",48,"Wisconsin","Kamala Harris",2024-09-26,1,326
88406,1424,"Siena/NYT",3,-1.5,"Live Phone",9,680,"lv","lv","REP","Trump",46,"Wisconsin","Donald Trump",2024-09-26,0,313
88488,1075,"Marquette Law School",3,-1.1,"Probability Panel",10,882,"rv","rv","DEM","Harris",52,"Wisconsin","Kamala Harris",2024-09-26,1,459
88488,1075,"Marquette Law School",3,-1.1,"Probability Panel",10,882,"rv","rv","REP","Trump",48,"Wisconsin","Donald Trump",2024-09-26,0,423
88488,1075,"Marquette Law School",3,-1.1,"Probability Panel",10,798,"lv","lv","DEM","Harris",52,"Wisconsin","Kamala Harris",2024-09-26,1,415
88488,1075,"Marquette Law School",3,-1.1,"Probability Panel",10,798,"lv","lv","REP","Trump",48,"Wisconsin","Donald Trump",2024-09-26,0,383
88488,1075,"Marquette Law School",3,-1.1,"Probability Panel",10,882,"rv","rv","DEM","Harris",48,"Wisconsin","Kamala Harris",2024-09-26,1,423
88488,1075,"Marquette Law School",3,-1.1,"Probability Panel",10,882,"rv","rv","REP","Trump",44,"Wisconsin","Donald Trump",2024-09-26,0,388
88488,1075,"Marquette Law School",3,-1.1,"Probability Panel",10,798,"lv","lv","DEM","Harris",49,"Wisconsin","Kamala Harris",2024-09-26,1,391
88488,1075,"Marquette Law School",3,-1.1,"Probability Panel",10,798,"lv","lv","REP","Trump",44,"Wisconsin","Donald Trump",2024-09-26,0,351
88374,1302,"Echelon Insights",2.7,-0.8,"Online Panel",9,1005,"lv","lv","DEM","Harris",52,"National","Kamala Harris",2024-09-25,1,523
88374,1302,"Echelon Insights",2.7,-0.8,"Online Panel",9,1005,"lv","lv","REP","Trump",45,"National","Donald Trump",2024-09-25,0,452
88374,1302,"Echelon Insights",2.7,-0.8,"Online Panel",9,1005,"lv","lv","DEM","Harris",49,"National","Kamala Harris",2024-09-25,1,492
88374,1302,"Echelon Insights",2.7,-0.8,"Online Panel",9,1005,"lv","lv","REP","Trump",44,"National","Donald Trump",2024-09-25,0,442
88391,1102,"Emerson",2.9,-1.1,"Online Panel/Text-to-Web",7,1000,"lv","lv","DEM","Harris",55.5,"New York","Kamala Harris",2024-09-25,1,555
88391,1102,"Emerson",2.9,-1.1,"Online Panel/Text-to-Web",7,1000,"lv","lv","REP","Trump",41.6,"New York","Donald Trump",2024-09-25,0,416
88395,1866,"CNN/SSRS",2.8,-0.6,"Live Phone/Text-to-Web/Email/Mail-to-Web/Mail-to-Phone",10,931,"lv","lv","DEM","Harris",48,"North Carolina","Kamala Harris",2024-09-25,1,447
88395,1866,"CNN/SSRS",2.8,-0.6,"Live Phone/Text-to-Web/Email/Mail-to-Web/Mail-to-Phone",10,931,"lv","lv","REP","Trump",48,"North Carolina","Donald Trump",2024-09-25,0,447
88397,1866,"CNN/SSRS",2.8,-0.6,"Live Phone/Text-to-Web/Email/Mail-to-Web/Mail-to-Phone",10,749,"lv","lv","DEM","Harris",53,"Nebraska CD-2","Kamala Harris",2024-09-25,1,397
88397,1866,"CNN/SSRS",2.8,-0.6,"Live Phone/Text-to-Web/Email/Mail-to-Web/Mail-to-Phone",10,749,"lv","lv","REP","Trump",42,"Nebraska CD-2","Donald Trump",2024-09-25,0,315
88410,1528,"AtlasIntel",2.7,-0.8,"Online Ad",6,946,"lv","lv","DEM","Harris",48.6,"Arizona","Kamala Harris",2024-09-25,1,460
88410,1528,"AtlasIntel",2.7,-0.8,"Online Ad",6,946,"lv","lv","REP","Trump",49.7,"Arizona","Donald Trump",2024-09-25,0,470
88410,1528,"AtlasIntel",2.7,-0.8,"Online Ad",6,946,"lv","lv","DEM","Harris",48.6,"Arizona","Kamala Harris",2024-09-25,1,460
88410,1528,"AtlasIntel",2.7,-0.8,"Online Ad",6,946,"lv","lv","REP","Trump",49.8,"Arizona","Donald Trump",2024-09-25,0,471
88411,1528,"AtlasIntel",2.7,-0.8,"Online Ad",6,918,"lv","lv","DEM","Harris",46.6,"Michigan","Kamala Harris",2024-09-25,1,428
88411,1528,"AtlasIntel",2.7,-0.8,"Online Ad",6,918,"lv","lv","REP","Trump",50.4,"Michigan","Donald Trump",2024-09-25,0,463
88411,1528,"AtlasIntel",2.7,-0.8,"Online Ad",6,918,"lv","lv","DEM","Harris",47.2,"Michigan","Kamala Harris",2024-09-25,1,433
88411,1528,"AtlasIntel",2.7,-0.8,"Online Ad",6,918,"lv","lv","REP","Trump",50.6,"Michigan","Donald Trump",2024-09-25,0,465
88412,1528,"AtlasIntel",2.7,-0.8,"Online Ad",6,858,"lv","lv","DEM","Harris",50.6,"Nevada","Kamala Harris",2024-09-25,1,434
88412,1528,"AtlasIntel",2.7,-0.8,"Online Ad",6,858,"lv","lv","REP","Trump",47.7,"Nevada","Donald Trump",2024-09-25,0,409
88412,1528,"AtlasIntel",2.7,-0.8,"Online Ad",6,858,"lv","lv","DEM","Harris",50.5,"Nevada","Kamala Harris",2024-09-25,1,433
88412,1528,"AtlasIntel",2.7,-0.8,"Online Ad",6,858,"lv","lv","REP","Trump",47.7,"Nevada","Donald Trump",2024-09-25,0,409
88413,1528,"AtlasIntel",2.7,-0.8,"Online Ad",6,1775,"lv","lv","DEM","Harris",48,"Pennsylvania","Kamala Harris",2024-09-25,1,852
88413,1528,"AtlasIntel",2.7,-0.8,"Online Ad",6,1775,"lv","lv","REP","Trump",50.6,"Pennsylvania","Donald Trump",2024-09-25,0,898
88413,1528,"AtlasIntel",2.7,-0.8,"Online Ad",6,1775,"lv","lv","DEM","Harris",48.1,"Pennsylvania","Kamala Harris",2024-09-25,1,854
88413,1528,"AtlasIntel",2.7,-0.8,"Online Ad",6,1775,"lv","lv","REP","Trump",51,"Pennsylvania","Donald Trump",2024-09-25,0,905
88414,1528,"AtlasIntel",2.7,-0.8,"Online Ad",6,1077,"lv","lv","DEM","Harris",48.2,"Wisconsin","Kamala Harris",2024-09-25,1,519
88414,1528,"AtlasIntel",2.7,-0.8,"Online Ad",6,1077,"lv","lv","REP","Trump",49.6,"Wisconsin","Donald Trump",2024-09-25,0,534
88414,1528,"AtlasIntel",2.7,-0.8,"Online Ad",6,1077,"lv","lv","DEM","Harris",48.2,"Wisconsin","Kamala Harris",2024-09-25,1,519
88414,1528,"AtlasIntel",2.7,-0.8,"Online Ad",6,1077,"lv","lv","REP","Trump",49.7,"Wisconsin","Donald Trump",2024-09-25,0,535
88415,1528,"AtlasIntel",2.7,-0.8,"Online Ad",6,1173,"lv","lv","DEM","Harris",50.8,"North Carolina","Kamala Harris",2024-09-25,1,596
88415,1528,"AtlasIntel",2.7,-0.8,"Online Ad",6,1173,"lv","lv","REP","Trump",47.3,"North Carolina","Donald Trump",2024-09-25,0,555
88415,1528,"AtlasIntel",2.7,-0.8,"Online Ad",6,1173,"lv","lv","DEM","Harris",50.5,"North Carolina","Kamala Harris",2024-09-25,1,592
88415,1528,"AtlasIntel",2.7,-0.8,"Online Ad",6,1173,"lv","lv","REP","Trump",48.1,"North Carolina","Donald Trump",2024-09-25,0,564
88416,1528,"AtlasIntel",2.7,-0.8,"Online Ad",6,1200,"lv","lv","DEM","Harris",49,"Georgia","Kamala Harris",2024-09-25,1,588
88416,1528,"AtlasIntel",2.7,-0.8,"Online Ad",6,1200,"lv","lv","REP","Trump",49.3,"Georgia","Donald Trump",2024-09-25,0,592
88416,1528,"AtlasIntel",2.7,-0.8,"Online Ad",6,1200,"lv","lv","DEM","Harris",49,"Georgia","Kamala Harris",2024-09-25,1,588
88416,1528,"AtlasIntel",2.7,-0.8,"Online Ad",6,1200,"lv","lv","REP","Trump",49.6,"Georgia","Donald Trump",2024-09-25,0,595
88364,1102,"Emerson",2.9,-1.1,"Online Panel/Text-to-Web",7,950,"lv","lv","DEM","Harris",46.7,"Texas","Kamala Harris",2024-09-24,1,444
88364,1102,"Emerson",2.9,-1.1,"Online Panel/Text-to-Web",7,950,"lv","lv","REP","Trump",52.3,"Texas","Donald Trump",2024-09-24,0,497
88365,1102,"Emerson",2.9,-1.1,"Online Panel/Text-to-Web",7,860,"lv","lv","DEM","Harris",52.7,"Virginia","Kamala Harris",2024-09-24,1,453
88365,1102,"Emerson",2.9,-1.1,"Online Panel/Text-to-Web",7,860,"lv","lv","REP","Trump",46.2,"Virginia","Donald Trump",2024-09-24,0,397
88351,568,"YouGov",3,-1.1,"Online Panel",9,1424,"rv","rv","DEM","Harris",47,"National","Kamala Harris",2024-09-24,1,669
88351,568,"YouGov",3,-1.1,"Online Panel",9,1424,"rv","rv","REP","Trump",44,"National","Donald Trump",2024-09-24,0,627
88351,568,"YouGov",3,-1.1,"Online Panel",9,1220,"lv","lv","DEM","Harris",49,"National","Kamala Harris",2024-09-24,1,598
88351,568,"YouGov",3,-1.1,"Online Panel",9,1220,"lv","lv","REP","Trump",46,"National","Donald Trump",2024-09-24,0,561
88361,568,"YouGov",3,-1.1,"Online Panel",9,1441,"lv","lv","DEM","Harris",49,"Georgia","Kamala Harris",2024-09-24,1,706
88361,568,"YouGov",3,-1.1,"Online Panel",9,1441,"lv","lv","REP","Trump",51,"Georgia","Donald Trump",2024-09-24,0,735
88380,1597,"Beacon/Shaw",2.8,-1.1,"Live Phone/Text-to-Web",9,1021,"rv","rv","DEM","Harris",47,"Arizona","Kamala Harris",2024-09-24,1,480
88380,1597,"Beacon/Shaw",2.8,-1.1,"Live Phone/Text-to-Web",9,1021,"rv","rv","REP","Trump",49,"Arizona","Donald Trump",2024-09-24,0,500
88380,1597,"Beacon/Shaw",2.8,-1.1,"Live Phone/Text-to-Web",9,764,"lv","lv","DEM","Harris",47,"Arizona","Kamala Harris",2024-09-24,1,359
88380,1597,"Beacon/Shaw",2.8,-1.1,"Live Phone/Text-to-Web",9,764,"lv","lv","REP","Trump",50,"Arizona","Donald Trump",2024-09-24,0,382
88380,1597,"Beacon/Shaw",2.8,-1.1,"Live Phone/Text-to-Web",9,1021,"rv","rv","DEM","Harris",48,"Arizona","Kamala Harris",2024-09-24,1,490
88380,1597,"Beacon/Shaw",2.8,-1.1,"Live Phone/Text-to-Web",9,1021,"rv","rv","REP","Trump",50,"Arizona","Donald Trump",2024-09-24,0,510
